class,clean_text
0,movie boring sometimes found occupied peaking paper instead watching never happened columbo movie
0,sometimes embarrassing look away
0,directing seems pretentious
0,scenes oh mature neighbour girl misplace
0,generally lines plot weaker average episode
0,scene debated whether not sack trumpeter falsely accused murder pure horror really stupid
1,applause given prelude however
1,really liked
1,great film great director
1,movie edge seat made somewhat afraid go car end night
1,music film really nice
1,would advise anyone go see
1,brilliant
1,liked movie way much
0,problem thought actor playing villain low rent michael ironside
1,rocked world certainly must see anyone no social physical outlets
0,however not make fact overall tremendously boring movie
0,no chemistry ben affleck sandra bullock film could not understand would consider even leaving wife chick supposedly knocked
0,several moments movie not need excruciatingly slow moving
0,poor remake best friends wedding
0,great disappointment
0,cannot believe actors agreed film
0,could not stand even watch long fear losing q
0,guess nobody network aired dribble watched putting
0,imdb ratings go low awful time get negative numbers cases
0,saw mirrormask last night unsatisfactory experience
0,unfortunately inexperience direction meant scene scene passed little way dramatic tension conflict
0,central themes film handled ineptly stereotypically no depth imagination
0,pretty pictures world cannot make piece work flawed core
0,hour half waste time following bunch pretty high schoolers whine cry life
0,not relate hell barely understand
1,definitely cult classic well worth viewing sharing others
0,movie pure disaster story stupid editing worst seen confuses incredibly
0,fish badly made underwater shots repeated thousand times film
0,truly truly bad film
0,acting terrible writing worse
0,possible way movie could redeemed would fodder
0,paid much
1,also real treat see anthony quinn playing crazy horse
0,boring
0,no plot whatsoever
0,no plot
0,horrible
0,worst hour half life oh gosh
0,walk theatre minutes get relief
0,hate movies like
0,yeah movie pretty much sucked
0,no plot storyline
0,go see movie bring pillow girlfriend boyfriend keep occupied
0,awful
0,not think ever gone movie disliked much
0,good thing tickets cost five dollars would mad would paid see crap
0,nobody identifies characters cardboard cutouts stereotypes predictably reverse stereotypes
0,bad film bad writing good actors ugly cartoon crafted paul haggis people not handle anything bold strokes storytelling picture painted crayons
0,crash depressing little nothing provokes emotion teaches nothing already know racism prejudice bad things
1,still like movie empowerment women not enough movies like one
0,brain attempt shut part primal impulse self preservation
0,left shattered experience watching film took good two hours fully recover
0,movie joins revenge boogeyman zombiez part hellish trinity horror films
0,certainly not mean distinction good way
0,mean terrible way
0,film no redeeming features
0,everything appalling
0,artless camera work endlessly presents us ugliest setting imaginable e
0,story beyond stupid
0,script script
0,kids annoying
0,lead man charisma free
0,utterly without merit level akin torture
0,even say torture
0,maybe would reasonable explanation atrocity
0,not pleasant voyage self discovery
0,highly unrecommended
0,premise sound stupid
0,yes bad
0,nothing recommend
1,excellent performance ms
1,garbo showed right bat talents could carry silent era wanted see silent work netflix not seem stocking
1,also great see renowned silent screenwriter frances marion not missed step going silent sound
0,movie suffered writing needed suspense
0,many close ups
0,movie seemed drag heroes not really work freedom
0,movie definitely average rent
1,love movie bad bad film way long definitely one bad ones movie received great quality film age john wayne incredible job young movie industry screen presence shined thought even though senior actors screen think must see older john wayne film really not see anyone could enjoy movie not think ever seen movie half boring self indulgent piece junk probably would better director not spent movie showcasing art work really not noteworthy another thing not really like character got punched face gallon blood would spew forth soon jamie foxx absolutely ray charles performance simply genius owns film spacek owned coal miner daughter quaid owned great balls fire
0,fact hard remember part ray charles acted not played man ray charles legendary ray charles life provided excellent biographical material film goes well beyond another movie musician hitchcock great director ironically mostly find films total waste time watch secondly hitchcock pretty much perfected thriller chase movie pandering audience sabotages films hence whole story lacks certain energy plot simply rumbles like machine desperately depending addition new scenes usual hitchcock logic flaws mishima extremely uninteresting chilly unremarkable movie author living working chilly abstruse culture flat reenactments not hold attention emotionally adrift stagy rest sits awful soldiers singing songs masculinity pledge hairsplitting purity admiration swords etc bore pieces kill momentum movie quicker anyone else schrader made resume full lousy amateurish films first watched movie loved totally fascinated music dancing everything however recently watched whole thing dvd completely struck extremely stupid storyline contained holes inconsistencies frankly whole lot crap horrid dancing mean realistic world would never gotten ballet repertory whole thing quite pathetic character developments also lacked depth woa talk awful not waste time horrible worst sappiest dialogue could go really made unwatchable direction poor actors not even tell talent not pathetic lines speak director gave no action check director filmography site see film not chance would not even good made tv flick good intentions made film great film might one greatest films ever made film great actors master director significant theme least would significant theme undertone fifties existential world weariness aerial scenes ought thrilled senses imagination characters one might deeply care regrettably film fails movie lacks visual interest drama expression feeling celebration patriotism underlines narrative no actress worse used june allison movie yet enjoy watching unfortunately bad movie plain bad bad script bad direction horrible acting make one plain bad dialogue sucked cinematography called sucked soundtrack sucked acting sucked concert sequences sucked nice funny funny overall movie cheap trash movie not funny considering ridiculousness came feeling angry spoilers whatever else not said surface superbly crafted cinematography simply stunning say least fx nothing not state art conceptually show offers little bit everything everybody parents kids fantasy fx fans not single sour note struck acting wise either surprisingly solid casting things considered job well done thanks good movie like done released one best mexican movies ever one less understood even mexican no matter identified felt ranks highly great noir crime drama incredible performances belmondo lino ventura attention given every character complex psychological portrayals detailing loyalty treachery love hope tremendous excellent drama excellent thriller excellent film best melville everything film simply incredible truly take journey eyes soul child black water thriller manages completely transcend limitations indie flick continually subverting expectations emerge intense experience performances real gripping crocdodile extremely well done indeed black water website believed used real crocs swamp location fabulous thoroughly enjoyed christopher eccleston took control tardis continuation series not sure trying film turn good day feeling night disturbing memories guess succeeded lot beautiful places forced like everything movie lame movie really pi ed not even get started jerky camerawork saw theater thought going sick summary witticisms not witty plot well said would let one go acting bad really bad even billy bob could not rise script worse camerawork bad rating amazing finale possibly best trilogy time kieslowski never ceases amaze one favourite directors one talented directors history cinema use colours french flag three films nothing short incredible every shot every scene like work art three visually appealing movies ever seen subtle connections three films awesome mention huge spoiler loved ending characters three films remaining survivors ferry disaster valentine young judge together old man watching tv solidifying happiness suffering dealt many years could not think better way end film smile face great way wrap amazing film trilogy recommend everyone loves film movies anything work art movie trilogy literally vomited watching film think one people found another one roth pearls performance awarded stunning story told eloquently francis ford coppola years earlier really unfolds gradually leaves room characters develop wonderful location lies story contrast beautiful directed film nicola roeg wih sublime cast translating movies living first movie working experience found offensive intelligence someone strives greatness poetry delivers muddled often ridiculous story bunch disparate scenes pretentious dialogue get worst kind movie reviewer accurately defined pretentious crap
0,find movie intelligent even masterful say intelligence imagination obviously used try make sense pitiful attempt human nature try make sense things
0,one thing tolerate political incorrectness well artistic freedom suspension disbelief slavic female character much
1,fun funny movie
1,highly entertaining angles
1,features outlandish array memorable psychotic lovable nuts
1,enjoyment get see run around play games dangerous
1,even sweet moments
1,telephone repair man really funny reactions nuts bitchy boss truly genuine
1,characters film tremendously well played
1,really find funny
1,actually smart movie
1,brilliant twist ending
0,love ending perfect shed tear thrilled seeing movie like never forget not cult cult classic depth character man underneath malta settings dry barren dialogue movie terrible hockey scenes terrible defensemen playing like years old goalies diving shots feet wide net etc not seen not waste time call movie drama ridiculous started watching not believe characters particular relationship bakery assistant waitress not work superficial movie gave feeling watching play rather film characters istagey storyline lot like stage farce time pyromaniac waylaid assistant bored not care happened next switched glad not pay see not laugh even smile not anything one big yawn really good show watch educational children years old barney definitely super de duper pretty funny babie bop cute kids cool storm trooper not even bad enough make list wonderfully terrible movies
0,lame
0,guy said better dialogue potted plants right
0,everything movie stupid
0,even love bad movies not watch movie
0,shameful
1,would give television series plus could
1,writers smack think best actors actresses bonus show characters real
1,must say taped episodes find watching
1,know gave
1,not know exactly movie latched endearing movie become special part family memories
1,totally absolutely recommend movie anyone likes good wholesome family movies exactly
1,things four kids get absolutely hilarious watch
1,one best movies shows strong sibling bond
1,much interesting action suspense less unneeded controversy
1,everything acting cinematography solid
1,definitely worth checking
1,damian talented versatile many ways writing portraying different characters screen
1,movie cutting edge
1,pleased know modern day genius letting passion art drive taking us audience
0,new characters not memorable found forgetting
0,felt though going ireland absolutely nothing whatsoever
0,not make scared horrified make sympathetic towards characters simply annoying
0,jerky camera movements also annoying
0,plot pretty much every cheap horror
0,pathetic attempts give characters depth not really work rest plot
0,guess supposed clever twist shed light situation stupid
0,see probably leave shelf
1,elias koteas jack palance play good roles angelina hot gets naked billy drago appears cool usual cameo sven ole thorsen helps make enjoyable movie good acting decent budget
1,awesome movie bought ebay
1,really loved story line poler bear kinda cute anyone question fort steele ask away
0,totally unfunny movie top pathetic unrealistic throughout whole minutes utter torture probably looked watch times
0,lucy bell much higher crap sink low quite depressing
0,movie make sick watching slackers make excuses stupid actions minutes
0,god never get minutes back
1,think wonderful parts literally full wonder excerpts works
1,sets especially designed work camera amazing stylized beautiful effective
1,could used exemplars set designer
1,stories powerful explorations nature man art
1,watching film wanted learn works artist
1,highly recommend movie anyone interested art poetry theater politics japanese history
1,wind lion see wonderful rendering america imperial age
1,makes story different terrific production values faultless photography composition editing terrific casting underappreciated brian keith playing bully teddy vivid history
1,though wind lion told largely eyes son every member family identify one characters whether sean connery noble brigand candace bergen feisty heroine john huston wily john hay steve kanaly spiffy radiant ruthless lieutenant roosevelt big stick
1,high adventure best
1,think robert ryans best film portrayed someone like father schizophrenic real life father although never murdered anyone affected second world war made worse
1,humour get get day apt
1,mother brother saw robert ryan portraying type man good imitation type individual impressed
0,almost songs cover girl old fashioned not tuneful
0,annoying thing cover girl way rita hayworth put pedestal
0,unfortunately cover girl example hollywood used exploit women financial gain
1,non linear narration thus many flashbacks every part articulated quite well
1,good cinematography also makes monica bellucci look beautiful
1,good commentary today love undoubtedly film worth seeing
1,people first timers film making think excellent job
1,popular cinema good house good reactions plenty laughs
1,feel good film felt came cinema
1,northern humour positive community represents
1,rather enjoyed
1,liked
0,could not take seriously
1,really created unique feeling though
1,vivian schilling excellent job script
1,world better garbage theatres today
1,role played well
1,not screamy not masculine right
1,camera really likes movie
1,would casted role ready script
1,european movie nice throwback time student experiences living abroad interacting nationalities although circumstances slightly different
0,fan movie sucked really bad
0,even worse ticker
0,movie bad
0,like buildings used couple locations maybe poor hummh
0,blew
1,movie excellent angel beautiful scamp adorable little yelps hes scared funniest parts scamp caught curtain angel scamp singing ive never feeling totally recommend movie coming special edition june cover scamp garbage angel underneath lid
1,cant explain movie romantic charming hilarious adorable junkyard scenes funny junkyard dogs something special funny laughed kids love buy comes new features
0,chosen tortured disgusting piece blatant american propaganda
0,show made americans stupid full hatred clich admitted elsewhere
0,almost everyone involved must return school acting utterly predictable bad script pile garbage round
0,wish could enter negative values admins
0,sets bad would not look place thunderbirds episode
0,use slow motion needlessly repeats throughout movie well backed bad acting bad kind word no continuity scenes thrown no reason whatsoever vehicles looked like made corn flakes box directorial style bordered stupidity
0,oh yeah storyline pathetic
0,hate writing bad reviews films especially really like star film bad not believe one second anyone could proud
0,not filmmaker nor director would hide head sand would spent whatever amount money time movie
0,short monumental waste time energy would not recommend anyone ever see film
0,came free dvd player bought still turned thing halfway embarrassed howell
0,no setting
1,interesting premise billy drago always good dangerous nut bag side note would love see drago stephen mchattie lance hendrikson flick together talk raging cheekbones
1,soundtrack not terrible either
0,acting even professionals drago debbie rochon terrible directing worse perhaps contributory former dialog chimp like camera work barely tolerable
1,still sets got big oy vey scale
0,yes simplifying things sake brevity really core problems film much going without real fulfilling explanation
1,good jobs quite amusing
0,convoluted plot not convince much film watched weird questioning glance
0,let girlfriend talk seeing bad idea hated
1,last minutes movie also not bad well
0,bela lugosi totally extraneous intoning odd lines
0,acting decidely wooden though no worse period universal b movie
1,like armand assante cable company summary sounded interesting watched twice already probably
1,believe screenwriter good job tying loose ends
1,score mostly plot
1,not say not like spoilers not want one believe film worth time
0,wow bad film
0,not frightening least barely comprehensible
0,plot not hang together acting absolutely appalling
0,not even good camp value
0,not expecting oscar material
0,would iq particularly stupid mollusk not see one coming
0,film use word loosely insult movie going public
0,someone involved knew string together narrative
0,gets simply nothing lower
0,one not watched recently fox movie channel disappointed
0,know contract player little control scripts acting bad script
0,victor mclaglen even bad brian donlevy almost unrecognizable
0,considering relations screen taylor stanwyck surprising little chemistry screen two
0,premise film ridiculous president u
0,death row scenes entirely unmoving
0,thing worse taylor acting stanwyck singing
0,whatever producer going missed entirely
1,deeply impressed character played
1,knew saw film great things come gifted actor
0,cheap cheerless heist movie poor characterisation lots underbite style stoic emoting think chow yun fat better tomorrow cheesy clich thrown abandoned factory ready poorly executed flying judo rolls la john woo
0,even squibs look awful
0,no point proceedings look remotely like america
0,plot derivative predictable ending like mercy killing
0,awful dialogue hopeless overacting everyone gets shot top real waste space time
0,uneasy bad movie not scared
0,dialogue composed things make little sense
0,minutes footage wasted show mediocre elderly actors awkwardly babbling overwrought pseudo satanic gibberish corny enough make teen goth blush almost always olde english sometimes latin may may not made words
0,directing sloppy best
0,hackneyed writing certainly made even worse bad directing
0,course acting blah
0,acting whole cast could put scale balanced perfectly overacting underacting
0,finally get ending would great handled competent people not jerry falwell
1,loved movie great portrayal family share ups end knew special love
1,seen many movies starring jaclyn smith god one best though came years ago
1,movie contained star cast loved opened eyes see actors not seen
1,movie kind long length enjoyed every minute
1,overall rate movie scale
1,lifetime not air enough anyone knows store sells let know must
0,particularly remember senses assaulted strident cords music would blare little warning even less meaning
0,sort pap screened afternoon punish unemployed not jobs
1,totally different loads understatement black comedy film get see remember
1,movie creates universe fascinating every way
1,movie really got
1,see
1,really hope team behind movie makes movies continue kinda weird style
1,forgot casting superb trond fausa aurv g perfect role bothersome man not understand
1,movie good humorous comment life
1,found move beautiful enjoyable uplifting
1,initially local sites film filmed buffalo intrigued
1,later found lost power film
1,entire audience applauded conclusion film
1,left theater lilt step joy heart hope human race
1,duris wholesome appearance gives fine performance
1,rest cast also play well
1,cinematography noteworthy including fine views barcelona famed gaudi towers
0,ten minutes film started second thoughts
0,half way film started dislike
0,time film ended not disliked despised
0,film lacks convincing script
0,script looks rough draft written shooting began finished script completed
0,things happen characters personalities change plot twists occur no real reason script calls
1,cast good
1,worth checking
0,probably irritating show ever seen entire life
0,indescribably annoying idiotic show ever seen
0,everything bad
0,could not understand kind idiot would produce mess first place not mention several season
0,script bad bad contains cheesiness unethical joke normally see rated r movie
0,casting also horrible cause see really really bad actors period
0,final word show real torture
0,zillion times away reality
0,watching washing machine twirling around would not hurt eyes much show
0,rating grade z note show bad even mother cast pull daughter show
0,century fox road house not quite silly noir implausible unmitigated bore movie
0,full unconvincing cardboard characters blandly written edward chodorov also produced surprisingly directed jean negulesco one would expect great deal
0,widmark character turns unintentionally comical
0,losing marbles early proceedings totally implausible unconvincing
0,not enough mess movie picture also marred constant use studio sets indoor exteriors
0,whatever prompted documentary beyond
0,serious spoilers movie huge disappointment
0,many problems dont know start
1,cast great
1,steve martin delivers really funny performance middle aged upper class uptight white guy
1,add betty white jean smart great cast everyone played parts really well
0,movie makes lot serious mistakes
0,first enough racial stereotypes racial jokes offend everyone
0,movie littered overt racial slurs towards black cast members return whites depicted morons boobs
0,putting race card aside lets look major flaw film destroy latifa character
0,no real plot
0,wouldnt see movie free
1,steamboat willie amazingly important film cinema history
1,second appearance mickey mouse following silent plane crazy earlier year probably famous film mostly ground breaking
1,not yet hear mickey speak tons sound effects music throughout film something take granted huge crowd pleaser
1,however seeing short years amazed timeless film actually
1,adorable seeing mickey playing turkey straw highly imaginative occasionally cruel way
1,clever real crowd pleaser film still ranks among mickey best films even wonderful years
0,bipolarity ruthless thug one minute ruthless killer next minute luv diaper commercial completely unconvincing
0,terribly disappointed film would receive many awards accolades especially far deserving works film
1,original body soul masterpiece
1,john garfield ann revere lilli plmer william conrad canada lee filmed one greatest cinematographers ever grace screen james wong howe
0,not think redeeming qualities remake
0,may bad film ever made
0,bad well bad
0,movie solid example bad plot bad idea way
0,shame see good actors like thomerson james make living mess like
0,thought bad
0,films terrible credit version watchable
0,let start problems acting especially lead professor bad
0,script big flawed mess
0,best example dumb writing established turn zombie students back humans removing necklace containing piece meteorite
0,director paul matthews also wrote directed weak monster movie grim clearly not know pace films
0,movie terribly boring places
0,lighting awful
0,film looks cheap bland
0,one disappointing aspects lack notable gore
0,convention never worked well past certainly not work
0,visual effects awful
0,cg opening sequence space looked like could created microsoft slideshow god sake
0,explosion gas tanks end awful
1,okay like consider fair critic give credit credit due creature effects actually pretty cool
1,gotta love close ups slimy drooling teeth
0,sum film breeders terrible cheaply made horror movie avoided like ebola virus
0,not recommended
0,almost unbearable watch screen little no charisma terrible comedic timing
0,aside terrible lead film loads debits
0,understand supposed cheap popcorn comedy not mean completely insult intelligence writing incredibly hackneyed borders offensive
0,lewis black considerable talent wasted incendiary unrestrained rating certainly not allow
1,film sole bright spot jonah hill look almost unrecognizable fans recent superbad due amount weight lost interim
0,originality freshness first movie spent remake little else offer
0,budget evidently limited
0,reflected not cast also par script borrowed much earlier classic
0,however no decent acting action location work balance things
0,filmiing less expansive
0,failed convey broad sweep landscapes great part original
0,generally lacked imagination
0,not recommended
0,possible movie get worse
0,no plot keep going first place
0,even women finally show no sign improvement expected things happen time film might far asleep
0,beware not trashy cult movie trash period
0,not believe even sequel
0,precisely giving bad review
1,child truly enjoyed show proudly say enjoyed big time even classical wb cartoons
1,tiny toons kept vibe delivered one popular funny underrated cartoons ever created
1,memories murky say enjoyed every single episode product related show
1,easily none cartoon made laugh tender way getting dark sitcoms oriented teenagers
1,characters funny peculiarity not true lead character
1,every single character hilarious deserved called lead
0,every element story top excessively phony contrived painful sit
0,lines seem written fifteen year old though trying oh hard sound like fifteen year old would really um know well talk
1,perabo nice energy level obviously comfortable front camera
0,simply no excuse something poorly done
0,saw movie thought stupid movie
0,even stupid thought idea volcano los angeles
0,honest unbelievable nonsense foolish
0,conclusion not bother movie volcano los angeles nothing nonsense
0,story line awful
0,painful
0,accents absolutely abysmal
0,also enough hypocrisy film make vomit
0,not waste time watching rubbish non researched film
1,believe pitch black done well
1,characters interesting want find longer movie goes think people surprised not make
1,go watch
0,omit watching
1,funny
0,rating
1,characters interesting really care
1,instant classic great soundtrack catchy song ending credits
1,not miss
1,masterful piece film making many themes simmering occasionally boiling warts study poet bohemian self indulgent wartime years span aerial bombardments london outward tranquillity welsh coastal retreat borderlines friendship lust love dedication art experience versus practical concerns jealousy rivalry cowardice egotism versus heroism self sacrifice
1,mature subtle script suggests occasionally brings dramatic focus underlying tensions well served perfect performances apart odd inappropriate smiling keira knightley prone though perhaps direction time characters often mention
1,exquisite visual composition moment inventive elegant use close camera angle lighting including pointillistic faux home movie footage wonder joy behold
1,continuously beautiful look bertolucci relationships convincing narrative engaging master work
0,basic premise wasted since sidelined inexplicable focus documentary crew
0,regardless film fails levels
0,avoid costs
1,saw film christmas great film
1,thought errol flynn brilliant custer since become favourite actor
1,acting alongside olivia de havilland brilliant ending fantastic
1,always known errol flynn brilliant actor dads favourite actor grew watching films child
1,not watched film realised great actually
1,give film
0,know jim connor energetic nobody could much george well dull
0,really not seem want hosting voice overs monotonous not get involved guests
1,lovely little thriller hitchcock lots nice shenanigans surrounding murdered spy kidnapped child nasty church foreign plot random taxidermists
1,jimmy stewart ever great hero hitchcock story rips along cool climax embassy function lacks brooding menace hitchcock black white low budget original
1,nevertheless yet another wonderful film great master stable
1,say film excellently produced tops ratings typical sci fi film
1,excellently produced one sci fi best producers scot vandiver
1,entertaining nonetheless
1,campy sort film joy watch
1,barely boring moment film plenty humorous parts
1,cast always entertaining usual
1,overall delight
0,movie mind bendingly awful could not even created
0,film lacks real scares tension medical terminology used throughout bit iffy say least say insulin dependant diabetic
0,least said acting better
1,movie excellent job revealing complexity task incredible challenges facing south africa
1,believe every one see movie think people outside south africa understand past attempted truth reconciliation process
1,nothing short magnificent photography cinematography film
1,acting fantastic stories seamlessly woven together dogs splendid must rent view see
1,not afraid subtitles worth little aversion therapy
1,excellent performance
1,still good actors around
1,also great directing photography
1,true shakespear amust shakespear fans
1,macbeth jason connery moved tears final monolog brief candle gave sphere moral decay dark forces human face makes interesting
1,helen baxendale credible lady macbeth cheerfull times sometimes looks like naughty girl deadly taste blood evil
1,love death decay shakespears lyrics one
1,witty delightful adaptation dr seuss book brilliantly animated upa finest thoroughly deserving academy award
1,special mention made superb music score sound effects integral element helping make memorable enjoyable cartoon
1,however paul schrader indeed made film mishima superb complex
1,also notable john bailey fine crisp beautifully colored cinematography great production design costumes eiko ishioka went memorable costumes coppola dracula received well deserved oscar
0,even allowing poor production values time format kind mini series baaaaaad
0,unless visually collect extant films austen work skip one
1,watch however small consolations actresses playing anne sisters wonderful job roles
0,not good
0,speaking music unbearably predictably kitchy
0,film dropped ball
1,stunning movie
1,raw sublimely moving
1,felt like gripping intelligent stage play without overly theatrical feeling one actually gets watching people stage plays everyone terror white lie escalating monstrous consequences
1,main players mesmerising
1,tom wilkinson broke heart end everyone else judging amount fumbling hankies hands going faces among males females alike
1,julian fellowes triumphed
1,national treasure
1,go see
1,excellent film
1,aerial scenes well done
1,also right balance war love
1,film gives meaning phrase never history human conflict much owed many
1,kris kristoffersen good movie really makes difference
1,good film great director
1,definitely one better documentaries seen looking family relationships marriage
0,many continuity errors one user commented different cars garage joe glasses one got fact joe facial hair configuration seemed change scene scene
1,great movie
1,stars
0,not see movie inspiration anyone come overcome fear rejection
0,bad actually worth seeing reason
1,punishment park brilliant piece cinema
1,shot southern california desert using patent faux documentary style watkins creates film like no
1,one peter watkins accessible films
1,advise look
1,wont regret
1,highly recommended
0,well keep thinking bad
0,mediocre miserable hollow laughable predictable piece garbage
0,case iso bad laughable
0,bad performance plays angela bennett computer expert home time
0,film nothing pretext show ridiculous action scenes
0,awful
0,still bad actress repeating robotic face moves pictures
0,results well shame
0,delete film mind
0,one worst shows time
0,show would begin smart ass ed comments would totally wall uncalled
0,fat computer geek unbelievable bible thumper bad ass girl actors
0,never heard except cole totally unbelievable part
0,every time opened mouth expect hear see kids pulling plug mercy killing horrible show
0,stories unbelievable actors
0,lame would best way describe
1,stanwyck morgan perfectly cast many ways modern equivalent dickens christmas carol sensibility
1,success film depends casting sydney greenstreet alexander yardley character
1,attractive set used throughout film eye pleasing gem
0,im big fan rpg games movie disgrace self respecting rpger
0,lines cuts audio everything wrong
0,find better movies youtube
0,top line not waste time money one bad comes
0,lassie movie put sleep forever
0,would describe painfully dreary time waster film
0,mediocre every aspect becomes dull uninteresting mess one forgettable movies seen
0,not even achievement bad good bad memorable movie
0,empty hollow shell movie
0,seriously not worth wasting kid time
0,avoid avoid avoid
0,drive barking mad
1,transfers good
1,nice relaxing late night viewing
1,movie full wonderful dancing hence title
1,great music terrific scenery
1,handles tough issues dignity grace course shocking spoiler
1,happy wonderful feel good ending
1,point journey journey touches every member family
1,one movies need see whenever comes tv never mind fact already memorized
0,nothing new
0,done second movie
0,movie almost no action scenes little comedy
0,plot holes pair fishnet stockings direction editing astonishingly ham fisted
0,earth irons film
1,saw film recommend
1,good plot holds complete attention acting superb tom wilkinson fantastic emily watson also good
1,good film indeed great unconditional love
1,tom wilkinson character man not prepared ordeal begin takes matter hand story progresses great actor gives performance makes feel character anguish suffering
1,emily watson character strong give quick glance understand everything
1,despite pans reviewers liked movie
1,fact liked better interview vampire liked lestat stuart townsend better cruise attempt
1,aailiyah pretty good akasha places compelling first entrance mini dance scene
1,big fan series mostly due anne rice style sensitivities treatments
1,guess liked details dysfunction believable
0,football scenes end perplexing
1,thought acting skilled
1,meredith better right
1,charming film wonderful sentiment heart
1,rare film maker takes time tell worthy moral tale care love not fall trap overly syrupy indulgent
1,nine ten truly lovely film
1,early film future goremeister lucio fulci good addition giallo sub genre
1,one best italian thrillers early
1,standout scene
0,scene strong unpleasant
1,technically film well made impressive camera work solid acting effective music riz ortolani particularly good recurring unaccompanied female vocal sounds like coming distant hill
1,still wild stuff though highly recommended fans giallo cinema
1,movie interesting beginning end
1,liked way dustin hoffman character ready everything stay son
1,movie also revealing
1,personally think shows people learn find compromise self without involving people issue
0,boring
0,tired clich lazy writing come thick fast
1,ps scene movie cool central character finds room blown
1,fresh subtle rather sublime effect
1,italian reviewer called small great film right
1,actors give wonderful performance especially jennifer rubin jamie harris changes nervous starlet beginning strange events part cool star
1,learn lot real inside emotions people movie lot movie business
1,movie movie situations beginning game played acting coach fascinating
1,also music mark snow possibly best score ever heard
1,not forget movie
0,film made
0,film ultra cheap look
0,result film not look right
0,none engaging exciting
0,plot nonsense not interest slightest way uniqueness
0,foreigner not worth one second time
1,saw child tv back stranger loved
1,duet astronaut doctor beginning movie perfect exchange one considers movie made well cold war astronaut biggest fear crashed ussr
1,movie awesome
1,loved really scary
1,love scream movies horror movies one ranks way
1,want real scare rent one
1,extraordinary film
1,courtroom drama compelling indictment american justice system frightening
1,film highlights fundamental flaws legal process not discovering guilt innocence rather presents better court
1,film well paced understated one best courtroom documentaries seen
1,mostly routine fact based tv drama gets boost fine performance cole
1,predictable not bad watch
1,clear range ability pull part
